timestamp,voltage
2024-06-10 19:35:40.006,"##########################################################################################
"
2024-06-10 19:35:40.167,"### CosmicWatch: The Desktop Muon Detector
"
2024-06-10 19:35:40.211,"### Questions? saxani@mit.edu
"
2024-06-10 19:35:40.242,"### Comp_date Comp_time Event Ardn_time[ms] ADC[0-1023] SiPM[mV] Deadtime[ms] Temp[C] Name
"
2024-06-10 19:35:40.338,"##########################################################################################
"
2024-06-10 19:35:40.433,"1015 400
"
2024-06-10 19:35:41.271,"1023 400
"
2024-06-10 19:35:41.282,"1023 400
"
2024-06-10 19:35:41.292,"1023 400
"
2024-06-10 19:35:41.302,"1023 400
"
2024-06-10 19:35:41.312,"1023 400
"
2024-06-10 19:35:41.323,"1023 400
"
2024-06-10 19:35:41.334,"1023 400
"
2024-06-10 19:35:41.344,"1023 400
"
2024-06-10 19:35:41.354,"1023 400
"
2024-06-10 19:35:41.365,"1023 400
"
2024-06-10 19:35:41.375,"1023 400
"
2024-06-10 19:35:41.385,"1023 400
"
2024-06-10 19:35:41.395,"1023 400
"
2024-06-10 19:35:41.406,"1023 400
"
2024-06-10 19:35:41.418,"1023 400
"
2024-06-10 19:35:41.426,"1023 400
"
2024-06-10 19:35:41.437,"1023 400
"
2024-06-10 19:35:41.451,"1023 400
"
2024-06-10 19:35:41.459,"1023 400
"
2024-06-10 19:35:41.469,"1023 400
"
2024-06-10 19:35:41.479,"1023 400
"
2024-06-10 19:35:41.490,"1023 400
"
2024-06-10 19:35:41.501,"1023 400
"
2024-06-10 19:35:41.510,"1023 400
"
2024-06-10 19:35:41.521,"1023 400
"
2024-06-10 19:35:41.531,"1023 400
"
2024-06-10 19:35:41.542,"1023 400
"
2024-06-10 19:35:41.552,"1023 400
"
2024-06-10 19:35:41.562,"1023 400
"
2024-06-10 19:35:41.574,"1023 400
"
2024-06-10 19:35:41.583,"1023 400
"
2024-06-10 19:35:41.593,"1023 400
"
2024-06-10 19:35:41.604,"1023 400
"
2024-06-10 19:35:41.614,"1023 400
"
2024-06-10 19:35:41.624,"1023 400
"
2024-06-10 19:35:41.635,"1023 400
"
2024-06-10 19:35:41.645,"1023 400
"
2024-06-10 19:35:41.656,"1023 400
"
2024-06-10 19:35:41.668,"1023 400
"
2024-06-10 19:35:41.676,"1023 400
"
2024-06-10 19:35:41.687,"1023 400
"
2024-06-10 19:35:41.697,"1023 400
"
2024-06-10 19:35:41.708,"1023 400
"
2024-06-10 19:35:41.719,"1023 400
"
2024-06-10 19:35:41.728,"1023 400
"
2024-06-10 19:35:41.739,"1023 400
"
2024-06-10 19:35:41.751,"1023 400
"
2024-06-10 19:35:41.760,"1023 400
"
2024-06-10 19:35:41.770,"1023 400
"
2024-06-10 19:35:41.780,"1023 400
"
2024-06-10 19:35:41.791,"1023 400
"
2024-06-10 19:35:41.802,"1023 400
"
2024-06-10 19:35:41.811,"1023 400
"
2024-06-10 19:35:41.823,"1023 400
"
2024-06-10 19:35:41.834,"1023 400
"
2024-06-10 19:35:41.843,"1023 400
"
2024-06-10 19:35:41.854,"1023 400
"
2024-06-10 19:35:41.864,"1023 400
"
2024-06-10 19:35:41.874,"1023 400
"
2024-06-10 19:35:41.885,"1023 400
"
2024-06-10 19:35:41.895,"1023 400
"
2024-06-10 19:35:41.906,"1023 400
"
2024-06-10 19:35:41.916,"1023 400
"
2024-06-10 19:35:41.926,"1023 400
"
2024-06-10 19:35:41.937,"1023 400
"
2024-06-10 19:35:41.947,"1023 400
"
2024-06-10 19:35:41.958,"1023 400
"
2024-06-10 19:35:41.979,"1023 400
"
2024-06-10 19:35:41.984,"1023 400
"
2024-06-10 19:35:41.991,"1023 400
"
2024-06-10 19:35:42.002,"1023 400
"
2024-06-10 19:35:42.012,"1023 400
"
2024-06-10 19:35:42.020,"1023 400
"
2024-06-10 19:35:42.031,"1023 400
"
2024-06-10 19:35:42.041,"1023 400
"
2024-06-10 19:35:42.052,"1023 400
"
2024-06-10 19:35:42.063,"1023 400
"
2024-06-10 19:35:42.072,"1023 400
"
2024-06-10 19:35:42.083,"1023 400
"
2024-06-10 19:35:42.094,"1023 400
"
2024-06-10 19:35:42.104,"1023 400
"
2024-06-10 19:35:42.114,"1023 400
"
2024-06-10 19:35:42.124,"1023 400
"
2024-06-10 19:35:42.135,"1023 400
"
2024-06-10 19:35:42.144,"1023 400
"
2024-06-10 19:35:42.156,"1023 400
"
2024-06-10 19:35:42.167,"1023 400
"
2024-06-10 19:35:42.175,"1023 400
"
2024-06-10 19:35:42.186,"1023 400
"
2024-06-10 19:35:42.196,"1023 400
"
2024-06-10 19:35:42.208,"1023 400
"
2024-06-10 19:35:42.218,"1023 400
"
2024-06-10 19:35:42.227,"1023 400
"
2024-06-10 19:35:42.239,"1023 400
"
2024-06-10 19:35:42.250,"1023 400
"
2024-06-10 19:35:42.259,"1023 400
"
2024-06-10 19:35:42.269,"1023 400
"
2024-06-10 19:35:42.281,"1023 400
"
2024-06-10 19:35:42.290,"1023 400
"
2024-06-10 19:35:42.301,"1023 400
"
2024-06-10 19:35:42.311,"1023 400
"
2024-06-10 19:35:42.322,"1023 400
"
2024-06-10 19:35:42.333,"1023 400
"
2024-06-10 19:35:42.342,"1023 400
"
2024-06-10 19:35:42.352,"1023 400
"
2024-06-10 19:35:42.363,"1023 400
"
2024-06-10 19:35:42.374,"1023 400
"
2024-06-10 19:35:42.384,"1023 400
"
2024-06-10 19:35:42.394,"1023 400
"
2024-06-10 19:35:42.406,"1023 400
"
2024-06-10 19:35:42.416,"1023 400
"
2024-06-10 19:35:42.425,"1023 400
"
2024-06-10 19:35:42.436,"1023 400
"
2024-06-10 19:35:42.446,"1023 400
"
2024-06-10 19:35:42.458,"1023 400
"
2024-06-10 19:35:42.468,"1023 400
"
2024-06-10 19:35:42.478,"1023 400
"
2024-06-10 19:35:42.489,"1023 400
"
2024-06-10 19:35:42.501,"1023 400
"
2024-06-10 19:35:42.509,"1023 400
"
2024-06-10 19:35:42.520,"1023 400
"
2024-06-10 19:35:42.530,"1023 400
"
2024-06-10 19:35:42.540,"1023 400
"
2024-06-10 19:35:42.552,"1023 400
"
2024-06-10 19:35:42.561,"1023 400
"
2024-06-10 19:35:42.572,"1023 400
"
2024-06-10 19:35:42.583,"1023 400
"
2024-06-10 19:35:42.592,"1023 400
"
2024-06-10 19:35:42.602,"1023 400
"
2024-06-10 19:35:42.613,"1023 400
"
2024-06-10 19:35:42.623,"1023 400
"
2024-06-10 19:35:42.634,"1023 400
"
2024-06-10 19:35:42.644,"1023 400
"
2024-06-10 19:35:42.655,"1023 400
"
2024-06-10 19:35:42.666,"1023 400
"
2024-06-10 19:35:42.676,"1023 400
"
2024-06-10 19:35:42.686,"1023 400
"
2024-06-10 19:35:42.696,"1023 400
"
2024-06-10 19:35:42.706,"1023 400
"
2024-06-10 19:35:42.717,"1023 400
"
2024-06-10 19:35:42.727,"1023 400
"
2024-06-10 19:35:42.738,"1023 400
"
2024-06-10 19:35:42.748,"1023 400
"
2024-06-10 19:35:42.758,"1023 400
"
2024-06-10 19:35:42.769,"1023 400
"
2024-06-10 19:35:42.779,"1023 400
"
2024-06-10 19:35:42.791,"1023 400
"
2024-06-10 19:35:42.800,"1023 400
"
2024-06-10 19:35:42.811,"1023 400
"
2024-06-10 19:35:42.822,"1023 400
"
2024-06-10 19:35:42.832,"1023 400
"
2024-06-10 19:35:42.841,"1023 400
"
2024-06-10 19:35:42.852,"1023 400
"
2024-06-10 19:35:42.863,"1023 400
"
2024-06-10 19:35:42.874,"1023 400
"
2024-06-10 19:35:42.884,"1023 400
"
2024-06-10 19:35:42.893,"1023 400
"
2024-06-10 19:35:42.904,"1023 400
"
2024-06-10 19:35:42.916,"1023 400
"
2024-06-10 19:35:42.926,"1023 400
"
2024-06-10 19:35:42.936,"1023 400
"
2024-06-10 19:35:42.946,"1023 400
"
2024-06-10 19:35:42.958,"1023 400
"
2024-06-10 19:35:42.967,"1023 400
"
2024-06-10 19:35:42.977,"1023 400
"
2024-06-10 19:35:42.989,"1023 400
"
2024-06-10 19:35:42.999,"1023 400
"
2024-06-10 19:35:43.008,"1023 400
"
2024-06-10 19:35:43.029,"1023 400
"
2024-06-10 19:35:43.037,"1023 400
"
2024-06-10 19:35:43.044,"1023 400
"
2024-06-10 19:35:43.056,"1023 400
"
2024-06-10 19:35:43.063,"1023 400
"
2024-06-10 19:35:43.073,"1023 400
"
2024-06-10 19:35:43.082,"1023 400
"
2024-06-10 19:35:43.091,"1023 400
"
2024-06-10 19:35:43.110,"1023 400
"
2024-06-10 19:35:43.114,"1023 400
"
2024-06-10 19:35:43.123,"1023 400
"
2024-06-10 19:35:43.135,"1023 400
"
2024-06-10 19:35:43.144,"1023 400
"
2024-06-10 19:35:43.155,"1023 400
"
2024-06-10 19:35:43.164,"1023 400
"
2024-06-10 19:35:43.174,"1023 400
"
2024-06-10 19:35:43.185,"1023 400
"
2024-06-10 19:35:43.195,"1023 400
"
2024-06-10 19:35:43.206,"1023 400
"
2024-06-10 19:35:43.216,"1023 400
"
2024-06-10 19:35:43.227,"1023 400
"
2024-06-10 19:35:43.237,"1023 400
"
